"id","code","name","account_type","reconcile","tag_ids","tax_ids"
"by_750200","75.02.00","Расчеты по выплате дивидендов и других доходов","asset_current","False","",""
"by_750201","75.21.00","Расчеты по выплате дивидендов и других доходов","asset_current","False","",""
"by_750202","75.22.00","Расчеты по выплате дивидендов и других доходов (в валюте)","asset_current","False","",""
"by_760000","76.00.00","Расчеты с разными дебиторами и кредиторами","asset_current","True","",""
"by_760100","76.01.00","Расчеты по исполнительным документам","asset_current","True","",""
"by_760200","76.02.00","Расчеты по имущественному и личному страхованию","asset_current","True","",""
"by_760300","76.03.00","Расчеты по претензиям","asset_current","True","",""
"by_760400","76.04.00","Расчеты по причитающимся дивидендам и другим доходам","asset_current","True","",""
"by_760500","76.05.00","Расчеты по депонированным суммам","asset_current","True","",""
"by_760600","76.06.00","Расчеты по договору доверительного управления имуществом","asset_current","True","",""
"by_760700","76.07.00","Прочие расчеты с разными дебиторами и кредиторами","asset_current","True","",""
"by_760800","76.08.00","Расчеты по обязательному страхованию","asset_current","True","",""
"by_760900","76.09.00","Расчеты, связанные с выбывающей группой","asset_current","True","",""
"by_761000","76.10.00","Расчеты с розничными покупателями по платежным картам и банковским кредитам","asset_current","True","",""
"by_762100","76.21.00","Расчеты по имущественному и личному страхованию (в валюте)","asset_current","True","",""
"by_763100","76.31.00","Расчеты по претензиям (в валюте)","asset_current","False","",""
"by_763200","76.32.00","Расчеты по претензиям (в у.е.)","asset_current","False","",""
"by_767100","76.71.00","Прочие расчеты с разными дебиторами и кредиторами (в валюте)","asset_current","False","",""
"by_767200","76.72.00","Прочие расчеты с разными дебиторами и кредиторами (в у.е.)","asset_current","False","",""
"by_770000","77.00.00","Расчеты по прямому страхованию и перестрахованию","asset_current","False","",""
"by_770100","77.01.00","Расчеты по прямому страхованию со страхователями","asset_current","False","",""
"by_770200","77.02.00","Расчеты по рискам, принятым в перестрахование","asset_current","False","",""
"by_770300","77.03.00","Расчеты по рискам, переданным в перестрахование","asset_current","False","",""
"by_770400","77.04.00","Расчеты по прямому страхованию со страховыми агентами и брокерами","asset_current","False","",""
"by_770500","77.05.00","Расчеты по депо премий","asset_current","False","",""
"by_790000","79.00.00","Внутрихозяйственные расчеты","asset_current","False","",""
"by_790100","79.01.00","Расчеты по выделенному имуществу","asset_current","False","",""
"by_790200","79.02.00","Расчеты по текущим операциям","asset_current","False","",""
"by_790300","79.03.00","Расчеты по договору доверительного управления имуществом","asset_current","False","",""
"by_800000","80.00.00","Уставный капитал","asset_current","False","",""
"by_800100","80.01.00","Уставный капитал белорусских учредителей","asset_current","False","",""
"by_800200","80.02.00","Уставный капитал иностранных учредителей","asset_current","False","",""
"by_800300","80.03.00","Прочий капитал","asset_current","False","",""
"by_810000","81.00.00","Собственные акции (доли в уставном капитале)","asset_current","False","",""
"by_810100","81.01.00","Обыкновенные акции","asset_current","False","",""
"by_810200","81.02.00","Привилегированные акции","asset_current","False","",""
"by_810300","81.03.00","Прочий капитал","asset_current","False","",""
"by_820000","82.00.00","Резервный капитал","asset_current","False","",""
"by_820100","82.01.00","Резервы, образованные в соответствии с законодательством","asset_current","False","",""
"by_820200","82.02.00","Резервы, образованные в соответствии с учредительными документами","asset_current","False","",""
"by_830000","83.00.00","Добавочный капитал","asset_current","False","",""
"by_830100","83.01.00","Прирост стоимости имущества по переоценке","asset_current","False","",""
